name_acc,id_acc,currency_acc,spend,date1,date2,day,note,,,
Spiderman 1146,3535098353371612,USD,"222,15",01-10-2025,01-10-2025,1,,N1,
Spiderman 1383,1742366719524202,USD,"243,96",01-10-2025,01-10-2025,1,,,
Spiderman 1387,917492076609519,USD,"275,84",01-10-2025,01-10-2025,1,,,
S-22,1105633883807896,USD,"169,60",01-10-2025,01-10-2025,1,,,
Spiderman 139,1125679892186633,USD,"220,74",01-10-2025,01-10-2025,1,,,
Spiderman 1440,335765492616181,USD,"275,25",01-10-2025,01-10-2025,1,,,
Spiderman 1501,8913961160313789,USD,"209,89",01-10-2025,01-10-2025,1,,,
Spiderman 1501,731654148908778,USD,"314,51",01-10-2025,01-10-2025,1,,,
Spiderman 1502,1476436532934209,USD,"451,06",01-10-2025,01-10-2025,1,,,
S - 4380,714591187310269,USD,"42,16",01-10-2025,01-10-2025,1,,,
S - 4386,847140343874786,USD,"6,39",01-10-2025,01-10-2025,1,,,
VI59,286735751057852,USD,"21,70",01-10-2025,01-10-2025,1,,,
VI67,747168356871672,USD,"4,33",01-10-2025,01-10-2025,1,,,
lele119,691764539709211,USD,"662,66",01-10-2025,01-10-2025,1,,,
VI38,906947064302281,USD,"449,49",01-10-2025,01-10-2025,1,,,
Spiderman 408,285248147894440,USD,"2.240,61",01-10-2025,01-10-2025,1,,,
Spiderman 414,2131573163868312,USD,"25,84",01-10-2025,01-10-2025,1,,,
Spiderman 416,1454182115312481,USD,"59,93",01-10-2025,01-10-2025,1,,,
Spiderman 528,1388296738472837,USD,"38,28",01-10-2025,01-10-2025,1,,,
Spiderman 530,413425824346480,USD,"45,34",01-10-2025,01-10-2025,1,,,
Spiderman 533,848503197019860,USD,"16,55",01-10-2025,01-10-2025,1,,,
Spiderman 766,395766892973273,USD,"34,85",01-10-2025,01-10-2025,1,,,
Spiderman 769,3540075792908626,USD,"105,44",01-10-2025,01-10-2025,1,,,
FG,1727272994726304,USD,"408,21",01-10-2025,01-10-2025,1,,,
FG,1750274582469730,USD,"236,01",01-10-2025,01-10-2025,1,,,
FG,591027933588125,USD,"268,85",01-10-2025,01-10-2025,1,,,
FG BM ban bú,377786871994884,USD,"485,61",01-10-2025,01-10-2025,1,,,
FG BM ban bú,27715942718050709,USD,"246,42",,01-10-2025,1,,,
FG,543959495210833,USD,"1.240,34",01-10-2025,01-10-2025,1,,,
S - 8774,2052075921918968,USD,"138,86",01-10-2025,01-10-2025,1,,,
SD Agency - 31650,955172533101997,USD,"30,17",01-10-2025,01-10-2025,1,,,
S - 8800,1247552546554294,USD,"41,17",01-10-2025,01-10-2025,1,,,
S - 8803 - k,925528672827392,USD,"198,30",01-10-2025,01-10-2025,1,,x,
S - 8852,2166960063701299,USD,"1,82",01-10-2025,01-10-2025,1,,,
SGA 9,1255760338886039,USD,"189,74",01-10-2025,01-10-2025,1,,,
SGA 1,599198569300188,USD,"161,48",01-10-2025,01-10-2025,1,,,
SGA 13,1239088494028251,USD,"55,75",01-10-2025,01-10-2025,1,,,
TM 13,585656530635931,USD,"195,97",01-10-2025,01-10-2025,1,,,
TM 4,1685732898661896,USD,"33,71",01-10-2025,01-10-2025,1,,,
SD Agency - 54890,1135432644608689,USD,"15,63",01-10-2025,01-10-2025,1,,,
SGA 14,8548198818636044,USD,"63,63",01-10-2025,01-10-2025,1,,,
SGA 11,1323492202341663,USD,"79,85",01-10-2025,01-10-2025,1,,,
S-1234,918259653595758,USD,"61,59",01-10-2025,01-10-2025,1,,,
S-1234,560762090144698,USD,"4.609,60",01-10-2025,01-10-2025,1,,,
S-1234,593069706658135,USD,"511,68",01-10-2025,01-10-2025,1,,,
S - 6732,4707531693751536,USD,"10,74",01-10-2025,01-10-2025,1,,,
SD Agency - 16069,607814461666845,USD,"140,96",01-10-2025,01-10-2025,1,,,
S - 16080,578315748129625,USD,"9,10",01-10-2025,01-10-2025,1,,,
S - 57210,596701146186014,USD,"5,87",01-10-2025,01-10-2025,1,,,
Đã fix thuế - k,433318833188967,USD,"176,37",01-10-2025,01-10-2025,1,,,
S - 5507,960770722535669,USD,"388,20",01-10-2025,01-10-2025,1,,,
S - 15153,8847529392010289,USD,"34,21",01-10-2025,01-10-2025,1,,,
VI56,2242621699444177,USD,"19,32",01-10-2025,01-10-2025,1,,,
VI29,573734938894612,USD,"75,55",01-10-2025,01-10-2025,1,,,
🅢🅖🅐 32,1760309454811065,USD,"39,93",01-10-2025,01-10-2025,1,,,
S - 58397,922320669856009,USD,"36,66",01-10-2025,01-10-2025,1,,,
S - 5487,1842136953258803,USD,"28,28",01-10-2025,01-10-2025,1,,,
S - 14020,540610187726706,VND,"110,95",01-10-2025,01-10-2025,1,,,
S-1234,483340699924873,VND,"262,70",01-10-2025,01-10-2025,1,,,
Long 2457,484805753131445,VND,"63,36",01-10-2025,01-10-2025,1,,,
S - 12345,466945761569383,VND,"220,96",01-10-2025,01-10-2025,1,,,
S - 1232239,729752074656386,VND,"10,62",01-10-2025,01-10-2025,1,,,
SD Agency - 31649,279112607627183,VND,"16,68",01-10-2025,01-10-2025,1,,,
S - 7902,993844744592737,VND,"34,97",01-10-2025,01-10-2025,1,,,
S - 1820,310449024399837,VND,"741,04",01-10-2025,01-10-2025,1,,,
S - 8383,639118517317185,VND,"75,81",01-10-2025,01-10-2025,1,,,
Long 1931,3164001830541656,VND,"103,23",01-10-2025,01-10-2025,1,,,
SD Agency - 63855,456373756182847,VND,"308,75",01-10-2025,01-10-2025,1,,,
SD Agency - 49889,1102984993785657,VND,"175,69",01-10-2025,01-10-2025,1,,,
SD Agency - 31648,270414445238357,VND,"21,12",01-10-2025,01-10-2025,1,,,
S - 5857,913336696031509,VND,"71,84",01-10-2025,01-10-2025,1,,,
Long 732,1203508723754667,VND,"8,17",01-10-2025,01-10-2025,1,,,
S - 2000,1022890965237324,VND,"17,29",01-10-2025,01-10-2025,1,,,
Long 22 - k,666462171231250,VND,"34,98",01-10-2025,01-10-2025,1,,,
Bend1 0,405238516211557,USD,"319,48",01-10-2025,01-10-2025,1,,,
Kyoung Tae Park,401112523288326,KRW,"2,95",01-10-2025,01-10-2025,1,,,
S - 14614,421168811055700,USD,"257,10",01-10-2025,01-10-2025,1,,,
S - 123,1291677531892285,USD,"215,14",01-10-2025,01-10-2025,1,,,
S - 123,1688365645434303,USD,"51,00",01-10-2025,01-10-2025,1,,,
S - 129112,936176982042793,USD,"123,49",01-10-2025,01-10-2025,1,,,
